Reference, Quantity, Value, Footprint, Datasheet, MFR, MPN, SPR, SPN
C11 ,1,"22n","Capacitors_SMD:C_0402","http://www.mouser.com/ds/2/281/c03e-806517.pdf","Murata Electronics","GCM155R71E223KA55D","Mouser","81-GCM155R71E223KA5D"
C12 ,1,"82p","Capacitors_SMD:C_0402","http://www.mouser.com/ds/2/212/KEM_C1030_CBR_SMD-1101233.pdf","KEMET","CBR04C820F3GAC","Mouser","80-CBR04C820F3GAC"
C13 ,1,"2.7n","Capacitors_SMD:C_0402","http://www.mouser.com/ds/2/40/X7RDielectric-777024.pdf","AVX","04025C272JAT2A","Taiyo Yuden","581-04025C272JAT2A"
C14 ,1,"200p","Capacitors_SMD:C_0402","http://www.mouser.com/ds/2/281/GCM1555C1H102FA16-01-1064253.pdf","Murata Electronics","81-GCM1555C1H201FA6D","Mouser","81-GCM1555C1H201FA6D"
C18 ,1,"22p","Capacitors_SMD:C_0402","http://www.mouser.com/ds/2/40/C0GNP0-Dielectric-951274.pdf","AVX","04025A220GAT2A","Mouser","581-04025A220G"
C21 C23 ,2,"20p","Capacitors_SMD:C_0402","http://www.mouser.com/ds/2/281/c02e-2905.pdf","Murata Electronics","GJM1555C1H200FB01D","Mouser","81-GJM1555C1H200FB1D"
C17 C19 C2 C22 C7 C9 ,6,"10n","Capacitors_SMD:C_0402","http://www.mouser.com/ds/2/281/c02e-2905.pdf","Murata Electronics","GRM155R71H103KA88D","Mouser","81-GRM155R71H103KA8D"
C10 C15 C16 C20 C24 C25 C26 C8 ,8,"100n","Capacitors_SMD:C_0402","http://www.mouser.com/ds/2/281/c03e-806517.pdf","Murata Electronics","GCM155R71C104JA55D","Mouser","81-GCM155R71C104JA5D"
C1 C27 C28 ,3,"15p","Capacitors_SMD:C_0402","http://www.mouser.com/ds/2/281/Murata%20GJM%20Series-1149669.pdf","Murata Electronics","GJM0225C1E150JB1L","Mouser","81-GJM0225C1E150JB1L"
C3 ,1,"220p","Capacitors_SMD:C_0402","http://www.mouser.com/ds/2/281/c02e-2905.pdf","Murata Electronics","GRM1555C1H221JA01D","Mouser","81-GRM1555C1H221JA01"
C4 ,1,"18p","Capacitors_SMD:C_0402","http://www.mouser.com/ds/2/281/c02e-2905.pdf","Murata Electronics","GRM1555C1H180JA1D","Mouser","81-GRM1555C1H180JA1D"
C5 ,1,"12p","Capacitors_SMD:C_0402","http://www.mouser.com/ds/2/281/c02e-2905.pdf","Murata Electronics","GRM1555C1H120FA1D","Mouser","81-GRM1555C1H120FA1D"
C6 ,1,"10p","Capacitors_SMD:C_0402","http://www.mouser.com/ds/2/212/KEM_C1030_CBR_SMD-1101233.pdf","KEMET","CBR04C100J5G","Mouser","80-CBR04C100J5G"
D2 D3 D6 ,3,"green","LEDs:LED_0402","http://www.mouser.com/ds/2/348/sml-p1-471200.pdf","ROHM Semiconductor","SML-P13PTT86R","Mouser","755-SML-P13PTT86R"
D1 D4 D8 ,3,"red","LEDs:LED_0402","http://www.mouser.com/ds/2/348/sml-p1-471200.pdf","ROHM Semiconductor","SML-P12U2TT86R","Mouser","755-SML-P12U2TT86R"
D5 ,1,"yellow","LEDs:LED_0402","http://www.mouser.com/ds/2/348/sml-p1-471200.pdf","ROHM Semiconductor","SML-P12WTT86R","Mouser","755-SML-P12WTT86R"
